schedule,command,target_repo,target_module,current_frequency,suggested_frequency,migration_status
"*/30 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_pm_risk.sh",tradingagent,risk,every_30min,every_30min,move
"*/30 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_pm_report.sh",tradingagent,review,every_30min,every_30min,move
"15 9 * * 1-5","/opt/investment/MarketGraph/deploy/wrappers/job_us_premarket.sh",tradingagent,trading,daily_09:15,daily_09:15,move
"*/30 10-14,22-23,0-4 * * 1-5","/opt/investment/MarketGraph/deploy/wrappers/job_us_hourly.sh",tradingagent,trading,intraday_30min,intraday_30min,move
"35 16 * * 1-5","/opt/investment/MarketGraph/deploy/wrappers/job_us_postclose.sh",tradingagent,trading,daily_16:35,daily_16:35,move
"30 20 * * 0","/opt/investment/MarketGraph/deploy/wrappers/job_us_weekly.sh",tradingagent,review,weekly_sun_20:30,weekly_sun_20:30,move
"0 */4 * * *","/opt/investment/MarketGraph/deploy/wrappers/job_crypto_daily.sh",tradingagent,trading,4x_daily,4x_daily,move
"0 */12 * * *","/opt/investment/MarketGraph/deploy/wrappers/job_crypto_weekly.sh",tradingagent,trading,2x_daily,2x_daily,move
"30 * * * 1-5","/opt/investment/MarketGraph/deploy/wrappers/job_us_signal_review.sh",tradingagent,review,hourly,hourly,move
"0 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_cross_market_review.sh",tradingagent,review,hourly,hourly,move
"30 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_strategy_attribution.sh",tradingagent,review,hourly,hourly,move
"45 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_auto_position.sh",tradingagent,trading,hourly,hourly,move
"30 8 * * *","/opt/investment/MarketGraph/deploy/job_email_notify.sh",tradingagent,notify,daily_08:30,daily_08:30,move
"*/30 * * * 1-5","/opt/investment/MarketGraph/deploy/job_trading_signals.sh",tradingagent,trading,every_30min,every_30min,move
"0 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_strategy_version.sh",tradingagent,review,hourly,hourly,move
"*/5 * * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/deploy/_dashboard.py",MarketGraph,health,every_5min,every_5min,keep
"0 6 * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/deploy/_external_sources.py",SharedSignals,collection,daily_06:00,daily_06:00,move
"30 * * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/deploy/_auto_tune.py",MarketGraph,analysis,hourly,hourly,keep
"@reboot","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/deploy/_api_server.py &",MarketGraph,health,reboot,reboot,keep
"@reboot","bash /opt/investment/RSSCollector/start_rsshub.sh",SharedSignals,collection,reboot,reboot,move
"*/10 * * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/RSSCollector/collector.py --tier hot",SharedSignals,collection,every_10min,every_10min,move
"5 * * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/RSSCollector/collector.py --tier warm",SharedSignals,collection,hourly,hourly,move
"0 2 * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/tools/gate_review.py --apply --json",tradingagent,review,daily_02:00,daily_02:00,move
"0 1,13 * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/tools/source_auto_graduate.py --apply --json",SharedSignals,collection,2x_daily,2x_daily,move
"0 3 * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/tools/signal_log_cleanup.py --apply --json",SharedSignals,collection,daily_03:00,daily_03:00,move
"*/30 10-14,22-23,0-4 * * 1-5","/opt/investment/MarketGraph/deploy/wrappers/job_us_shadow_exec.sh",tradingagent,trading,intraday_30min,intraday_30min,move
"*/30 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_crypto_shadow_exec.sh",tradingagent,trading,every_30min,every_30min,move
"25 9 * * 1-5","/opt/investment/MarketGraph/deploy/job_premarket_signals.sh",tradingagent,trading,daily_09:25,daily_09:25,move
"*/15 * * * *","/opt/investment/MarketGraph/deploy/job_self_heal.sh",tradingagent,review,every_15min,every_15min,move
"30 7 * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/tools/daily_brief.py --apply --json",tradingagent,review,daily_07:30,daily_07:30,move
"30 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_factor_attribution.sh",tradingagent,review,hourly,hourly,move
"0 17 * * 1-5","/opt/investment/MarketGraph/deploy/wrappers/job_backtest_report.sh",tradingagent,review,daily_17:00,daily_17:00,move
"0 3 * * 6","/opt/investment/MarketGraph/deploy/job_stress_test.sh",tradingagent,risk,weekly_sat_03:00,weekly_sat_03:00,move
"0 16 * * 1-5","/opt/investment/MarketGraph/deploy/job_research_report.sh",tradingagent,review,daily_16:00,daily_16:00,move
"*/5 9-15 * * 1-5","/opt/investment/MarketGraph/deploy/wrappers/job_ashare_sim_exec.sh",tradingagent,trading,intraday_5min,intraday_5min,move
"*/30 * * * *","/opt/investment/MarketGraph/deploy/job_pm_promote.sh",tradingagent,trading,every_30min,every_30min,move
"0 14 * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/tools/gate_review.py --apply --json (intraday)",tradingagent,review,daily_14:00,daily_14:00,move
"30 2 * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/tools/self_heal.py --apply --json",tradingagent,review,daily_02:30,daily_02:30,move
"0 */2 * * *","/opt/investment/MarketGraph/deploy/job_data_capability_registry.sh",SharedSignals,collection,2h,2h,move
"*/5 9-15 * * 1-5","/opt/investment/MarketGraph/deploy/job_tushare_rt_min_5m.sh",SharedSignals,collection,intraday_5min,intraday_5min,move
"35 6 * * 1-5","/opt/investment/MarketGraph/deploy/job_tushare_dimension_collect.sh --task research",SharedSignals,collection,daily_06:35,daily_06:35,move
"25,35 9 * * 1-5","/opt/investment/MarketGraph/deploy/job_tushare_dimension_collect.sh --task auction",SharedSignals,collection,daily_09:25_09:35,daily_09:25_09:35,move
"25 16 * * 1-5","/opt/investment/MarketGraph/deploy/job_tushare_dimension_collect.sh --task stock_minutes",SharedSignals,collection,daily_16:25,daily_16:25,move
"*/5 * * * *","/opt/investment/MarketGraph/deploy/job_marketdata_db_sync.sh",SharedSignals,collection,every_5min,every_5min,move
"45 16 * * 1-5","/opt/investment/MarketGraph/deploy/job_ashare_daily_backfill_db.sh --max-days 1",SharedSignals,collection,daily_16:45,daily_16:45,move
"10 */2 * * *","/opt/investment/MarketGraph/deploy/job_ashare_daily_backfill_db.sh --resume-ashare-history",SharedSignals,collection,2h,2h,move
"*/10 9-16 * * 1-5","/opt/investment/MarketGraph/deploy/job_tushare_dimension_collect.sh --task events",SharedSignals,collection,intraday_10min,intraday_10min,move
"20 6,12,17,21 * * *","/opt/investment/MarketGraph/deploy/job_tushare_dimension_collect.sh --task events (4x)",SharedSignals,collection,4x_daily,4x_daily,move
"*/15 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_pm_collect.sh",SharedSignals,collection,every_15min,every_15min,move
"*/15 * * * *","/opt/investment/MarketGraph/deploy/job_collect_crypto.sh",SharedSignals,collection,every_15min,every_15min,move
"*/15 * * * *","/opt/investment/MarketGraph/deploy/wrappers/job_crypto_hourly.sh",SharedSignals,collection,every_15min,every_15min,move
"25 2 * * *","/opt/investment/MarketGraph/deploy/job_marketdata_db_maintenance.sh",SharedSignals,collection,daily_02:25,daily_02:25,move
"20 */2 * * 1-6","/opt/investment/MarketGraph/deploy/job_tushare_dimension_collect.sh --task us_daily",SharedSignals,collection,2h,2h,move
"*/5 * * * *","/opt/marketgraph/venv/bin/python3 /opt/investment/MarketGraph/03-Events-Signals/tools/marketgraph_signal_to_strategy.py --cutoff-hours 24 --apply",MarketGraph,analysis,every_5min,every_5min,keep
"*/10 * * * *","/opt/investment/MarketGraph/deploy/job_health_monitor.sh",SharedSignals,health,every_10min,every_10min,move
"0 8,20 * * *","bash /opt/investment/MarketGraph/deploy/job_alert.sh",tradingagent,notify,2x_daily,2x_daily,move
"0 4 * * *","bash /opt/investment/MarketGraph/deploy/auto_maintain.sh",SharedSignals,health,daily_04:00,daily_04:00,move
